segment_id,start_pos,end_pos,start_time,end_time,length,net_return,theta_mean,amp_z_mean,sigma_mean,viscosity_mean,sign_global
99,1012,1015,2020-01-28 00:00:00+00:00,2020-01-31 00:00:00+00:00,4,-0.0158195712872522,-0.00729024212529519,1.1199812806961418,0.01778397951395606,0.43522277101181583,-1.0
100,1016,1025,2020-02-03 00:00:00+00:00,2020-02-14 00:00:00+00:00,10,0.20350398106308965,0.03574387688176597,1.081678352434309,0.021115936660884217,3.811390462589369,1.0
101,1026,1033,2020-02-18 00:00:00+00:00,2020-02-27 00:00:00+00:00,8,-0.1367509832903555,-0.02509073725851002,1.3136116992107685,0.03255300362804565,1.1776794244187,-1.0
102,1034,1036,2020-02-28 00:00:00+00:00,2020-03-03 00:00:00+00:00,3,0.05127521859459794,0.027100506812605247,1.0525936257835788,0.04069440914631956,0.5660136720566383,1.0
103,1037,1037,2020-03-04 00:00:00+00:00,2020-03-04 00:00:00+00:00,1,0.06768581016209607,0.06758272881114552,1.5656545166275493,0.043231628553243945,0.6351848872933553,1.0
104,1038,1040,2020-03-05 00:00:00+00:00,2020-03-09 00:00:00+00:00,3,-0.14771570511335175,-0.05972335236643706,1.0544385637385374,0.045978233269229014,1.295901739330051,-1.0
105,1041,1041,2020-03-10 00:00:00+00:00,2020-03-10 00:00:00+00:00,1,0.06177419770327308,0.06169579928859877,1.246147005701234,0.049572149159915,0.4339047242506286,1.0
106,1042,1043,2020-03-11 00:00:00+00:00,2020-03-12 00:00:00+00:00,2,-0.1881141876309116,-0.10766988118134282,1.691818240968772,0.05443772569137964,1.1359762835726208,-1.0
107,1044,1044,2020-03-13 00:00:00+00:00,2020-03-13 00:00:00+00:00,1,0.10742025517804699,0.10700991434385407,1.6849456639608742,0.06375293911619262,0.45144446975557345,1.0
108,1045,1045,2020-03-16 00:00:00+00:00,2020-03-16 00:00:00+00:00,1,-0.20397963655661844,-0.2012191885343278,2.713514342795171,0.07517174543892668,0.6550407865267196,-1.0
109,1046,1046,2020-03-17 00:00:00+00:00,2020-03-17 00:00:00+00:00,1,0.10098727696982412,0.10064605858856968,1.272056210187576,0.07938899510924172,0.33114173760902266,1.0
110,1047,1050,2020-03-18 00:00:00+00:00,2020-03-23 00:00:00+00:00,4,-0.02130492799139172,-0.013140747760505712,0.5861288911104704,0.07918809560707535,0.43113724978984563,-1.0
111,1051,1051,2020-03-24 00:00:00+00:00,2020-03-24 00:00:00+00:00,1,0.1583398043603026,0.15703608873477082,1.8091240109973843,0.08752290351934941,1.2650400909509303,1.0
112,1052,1057,2020-03-25 00:00:00+00:00,2020-04-01 00:00:00+00:00,6,-0.024826068830907877,-0.01173074476296198,0.41716189948131577,0.08650648821502871,0.515624529746216,-1.0
