segment_id,start_pos,end_pos,start_time,end_time,length,net_return,theta_mean,amp_z_mean,sigma_mean,viscosity_mean,sign_global
55,601,606,2018-06-08 00:00:00+00:00,2018-06-15 00:00:00+00:00,6,-0.007462239089262468,-0.0032074223830221146,0.7647936977503652,0.00840460881353385,0.4918572737788776,-1.0
56,607,609,2018-06-18 00:00:00+00:00,2018-06-20 00:00:00+00:00,3,0.017228133631208564,0.008825368368437711,0.6712684334285325,0.008481750902452822,0.4540097770203713,1.0
57,610,614,2018-06-21 00:00:00+00:00,2018-06-27 00:00:00+00:00,5,-0.04343526353234051,-0.012430998582474028,1.200854208623841,0.009389076008573078,28.562153098603677,-1.0
58,615,617,2018-06-28 00:00:00+00:00,2018-07-02 00:00:00+00:00,3,0.025007865125225237,0.01267765543118591,0.830030144734312,0.010027675047294576,0.47291207361456994,1.0
59,618,633,2018-07-03 00:00:00+00:00,2018-07-25 00:00:00+00:00,16,0.1027272779500592,0.012759039058383402,0.9708210450576401,0.010693599953194717,1.5960282866943034,1.0
60,634,647,2018-07-26 00:00:00+00:00,2018-08-14 00:00:00+00:00,14,-0.011525161693482389,-0.004734167032331403,0.6543025094308275,0.01272042839813012,1.762747614676959,-1.0
61,648,670,2018-08-15 00:00:00+00:00,2018-09-17 00:00:00+00:00,23,0.02711659215899509,-0.0009103740248183356,0.8330155903517192,0.01000895382157934,1.2307539478020857,1.0
62,671,671,2018-09-18 00:00:00+00:00,2018-09-18 00:00:00+00:00,1,0.009496287060605013,0.009496001619344583,0.8862031814645605,0.010715689581343437,0.46538949025605214,1.0
63,672,672,2018-09-19 00:00:00+00:00,2018-09-19 00:00:00+00:00,1,-0.013427535120701606,-0.01342672821895026,1.215157542955592,0.011050026432347863,0.5857456560710286,-1.0
64,673,685,2018-09-20 00:00:00+00:00,2018-10-08 00:00:00+00:00,13,-0.007638933949328575,-0.0020457087082424896,0.6515399784525481,0.010603728219375401,0.7746304812476642,-1.0
65,686,686,2018-10-09 00:00:00+00:00,2018-10-09 00:00:00+00:00,1,0.01263979006215532,0.012639116997632944,1.3029143153469662,0.009701157539009918,0.5240213559507102,1.0
66,687,689,2018-10-10 00:00:00+00:00,2018-10-12 00:00:00+00:00,3,-0.024254013494321214,-0.021366405377463735,1.870905030820974,0.016313613414010133,0.5982229789111939,-1.0
67,690,690,2018-10-15 00:00:00+00:00,2018-10-15 00:00:00+00:00,1,-0.018142885463510616,-0.018140895193216204,1.0167423550006947,0.017844122659840082,0.3481206873955674,-1.0
68,691,697,2018-10-16 00:00:00+00:00,2018-10-24 00:00:00+00:00,7,-0.050315538708069596,-0.019352739371591394,0.9339198573273053,0.019555455084905877,0.7259106962445208,-1.0
69,698,727,2018-10-25 00:00:00+00:00,2018-12-07 00:00:00+00:00,30,0.028449912691986157,0.0037198026654948215,0.7417379182784979,0.024487272646210523,0.915216787195347,1.0
70,728,738,2018-12-10 00:00:00+00:00,2018-12-24 00:00:00+00:00,11,-0.10756754286525982,-0.02027991654085923,0.8508187452767637,0.022647618484821278,2.951761707540132,-1.0
71,739,744,2018-12-26 00:00:00+00:00,2019-01-03 00:00:00+00:00,6,0.034149649649768854,0.022809086572332788,0.8140159069854898,0.02699367388377018,0.5465188929600046,1.0
72,745,761,2019-01-04 00:00:00+00:00,2019-01-29 00:00:00+00:00,17,0.055319645934591044,0.009913627105658816,0.5497505721130265,0.024902477284885812,3.4035376456714186,1.0
73,762,762,2019-01-30 00:00:00+00:00,2019-01-30 00:00:00+00:00,1,0.03287138464777417,0.032859552834535,1.6714782078067012,0.019666046365106733,0.6150257642754771,1.0
74,763,764,2019-01-31 00:00:00+00:00,2019-02-01 00:00:00+00:00,2,-0.034426798062743735,-0.017307877321850174,0.8898473137816899,0.019317929065951492,3.273591502480755,-1.0
75,765,789,2019-02-04 00:00:00+00:00,2019-03-11 00:00:00+00:00,25,0.09755324965795786,0.010815238954671649,0.5872420956351305,0.013915868091074817,1.0148680427808736,1.0
76,790,797,2019-03-12 00:00:00+00:00,2019-03-21 00:00:00+00:00,8,0.06344120038548784,0.014581594081817148,0.946798486189409,0.008626357597246547,2.3636497325964525,1.0
77,798,824,2019-03-22 00:00:00+00:00,2019-04-30 00:00:00+00:00,27,0.08281566391169815,0.005385125634470617,0.7678830908894544,0.00960116646482754,1.298638270385525,1.0
78,825,826,2019-05-01 00:00:00+00:00,2019-05-02 00:00:00+00:00,2,-0.03419204043137647,-0.018006840969992412,1.6367163995371827,0.010526004059984332,1.2155523582721575,-1.0
79,827,832,2019-05-03 00:00:00+00:00,2019-05-10 00:00:00+00:00,6,0.0072630662854766825,0.002424518492178665,0.8299008864670218,0.01235157012844454,63.57603656494729,1.0
80,833,847,2019-05-13 00:00:00+00:00,2019-06-03 00:00:00+00:00,15,-0.05535801557452835,-0.009160331785088195,0.8371432535734799,0.01496806116439343,1.6856204160823745,-1.0
81,848,888,2019-06-04 00:00:00+00:00,2019-07-31 00:00:00+00:00,41,0.128480769529717,0.003910266389285553,0.6924978959663631,0.012320061864976486,2.1382885127377684,1.0
82,889,889,2019-08-01 00:00:00+00:00,2019-08-01 00:00:00+00:00,1,0.013050275185634064,0.013049534398589725,1.3293333797098055,0.009817147520322667,0.30669527644166467,1.0
83,890,890,2019-08-02 00:00:00+00:00,2019-08-02 00:00:00+00:00,1,-0.008437707027363572,-0.008437506795347794,0.8449415744140578,0.009986132572301375,0.39267079696072205,-1.0
84,891,891,2019-08-05 00:00:00+00:00,2019-08-05 00:00:00+00:00,1,-0.03485914861874306,-0.03484503908735818,2.752627339797058,0.012663944947607659,1.3193502445609966,-1.0
85,892,896,2019-08-06 00:00:00+00:00,2019-08-12 00:00:00+00:00,5,0.02671823665175488,0.010964298058124274,1.0075524513943137,0.014186711862344468,0.9296038576268831,1.0
